bn_words_of_interest,frequency_count
বুঝিয়ে,30
জায়িয,30
ছিনিয়ে,30
মেয়েকে,30
ইখতিয়ার,30
এক-তৃতীয়াংশ,30
সাওয়াবের,30
কায়সার,30
'আয়িশাহ্,29
হয়),29
ঝাঁপিয়ে,29
সাফিয়্যাহ,29
সিরিয়ার,29
বায়তুল্লাহর,29
গিয়েছিলাম।,29
আকওয়া’,29
“ওয়া,29
চেয়েছেন,29
কষ্টদায়ক,29
উমাইয়্যাহ,29
মায়িদাহ,28
মালায়িকাহ,28
স্থানীয়,28
পরওয়া,28
ইয়ামানবাসী,28
উয়াইনাহ্,28
“নিশ্চয়,28
উভয়টি,28
কুরায়শদের,28
‘আয়িশাহ্(,28
ওয়াল্,28
মুয়ায্‌যিন,28
প্রায়ই,28
দিয়েছেন।এখনো,28
ব্যাখ্যায়,27
শুনিয়েছেন,27
"নেয়,",27
রায়া,27
মু‘আবিয়াহ্,27
ওয়াহ্‌ব,27
দাঁড়ায়,27
ওয়াহীর,27
জওয়াব,27
জীবদ্দশায়,27
গায়ের,27
দিয়েছেন?,27
ইয়ালা,27
নিয়ে),27
খেয়াল,27
লাব্বায়ক,27
‘আয়িশাহ্(রাঃ),27
ইয়া’লা,27
চেয়েছিলাম,27
পাঠিয়েছেন।,27
ওয়ামি,27
বর্ণিতঃ‘আয়িশা,27
হুয়াই,27
উল্টিয়ে,26
ওয়ারিশ,26
ভুলিয়ে,26
"হয়েছি,",26
ক্রিয়া,26
তলায়,26
ওয়াবি,26
নৌকায়,26
নিকটাত্মীয়,26
নিয়েছিলেন।,26
করিয়েছি,26
অসীয়ত,26
দায়িত্বশীল,26
আয়াতগুলো,26
জাহিলিয়্যাত,26
লাব্বায়কা,26
জায়গাটি,26
খায়।,26
প্রয়োজনের,26
যিয়ারত,26
দীর্ঘায়িত,26
ভয়াবহ,25
কামিয়ে,25
ফাতাওয়া,25
বজায়,25
‘উলাইয়্যা,25
পাঠিয়েছিলেন।,25
সফিয়্যাহ্,25
গড়িয়ে,25
"দিয়েছে,",25
বয়স্কা,25
ইশারায়,25
উনায়স,25
প্রয়োগ,25
নামিয়ে,25
চালিয়ে,25
যুবায়রকে,25
দেয়নি।,25
ওয়ালা-,25
ঘোড়ায়,25
বিস্ময়,25
কমিয়ে,25
ছয়জন,25
নিয়োজিত,24
পেয়েছেন,24
বসায়,24
শয্যায়,24
চাটাইয়ে,24
'আয়িশাহ্‌,24
হুনায়নের,24
উকিয়া,24
‘উয়াইনাহ্,24
"পাঠিয়েছেন,",24
তায়বা,24
অল্পস্থায়ী,24
যায়িদ,24
তিলাওয়াতে,24
সংশয়,24
বুকায়র,24
কুয়া,24
হয়েছিল?,24
দিয়্যাত,24
মায়মূনা,24
"হয়নি,",23
শুরায়হ,23
নিয়ন্ত্রণ,23
আয়ত্ত,23
ক্বিয়ামতের,23
ভাইয়েরা,23
লাগায়,23
উদয়,23
যুবায়রের,23
ওয়াজে,23
পাথেয়,23
পরওয়ারদিগার,23
"দিয়েছিলেন,",23
আওয়ানা,23
চাটাইয়ের,23
ন্যায়ভাবে,23
(‘আয়িশা,23
আতিয়্যাহ,23
নেতৃস্থানীয়,23
আবিসিনিয়া,23
ওয়াতা,22
উমাইয়্যাহ্,22
সা’য়ী,22
ওয়াসীলা,22
লায়লা,22
খেয়েছি,22
চেয়েছিলেন,22
হওয়া।,22
ক্রয়-বিক্রয়ের,22
পেয়ালাটি,22
বয়সী,22
হৃদয়ের,22
সাফা-মারওয়াহ্,22
ন্যায়সঙ্গত,22
নয়ন,22
তিলাওয়াতের,22
জানায়,22
সূরায়,22
ওয়ালিদ,22
দাঁড়িয়েছি,22
অন্যায়ভাবে,22
হুরায়রা!,22
আত্বিয়্যাহ,22
খাওয়ান,22
সুহায়ব,22
জায়গার,22
খয়রা,22
মালায়িকাহ্,22
মেয়াদে,22
নায়ক,22
চাপিয়ে,22
স্বেচ্ছায়,21
সময়।,21
বায়দা,21
চিবিয়ে,21
বুলিয়ে,21
করিয়েছেন,21
দিয়েছিলাম।,21
"হওয়া,",21
বুরায়দ,21
যায়নি।,21
প্রয়োজনীয়,21
সিরিয়াবাসী,21
ওয়ালার,21
[‘আয়িশাহ,21
সিয়ামে,21
‘আত্বিয়্যাহ্,21
গিয়েছেন।,21
কুতায়বা,21
হয়ঃ,21
সঞ্চয়,21
"নুমায়র,",21
রয়েছে-,21
ইয়ামামা,20
মায়মূনাহ,20
আওয়াজে,20
বিধায়,20
ইখ্‌তিয়ার,20
ওয়াসাল্লাম)!,20
জামরায়,20
সিয়ামের,20
খিয়ানত,20
খুবায়ব,20
ওয়া’দা,20
(মাক্কায়,20
ওয়ারাকা,20
দেয়ালের,20
ধোঁয়া,20
ফিতনায়,20
"নিয়েছেন,",20
আয়িশাহ!,20
উমাইয়াহ্,20
পায়জামা,20
দিয়েছি?,20
মেয়েটি,20
ওয়ার্‌,20
খাওয়াত,20
সাফওয়ান,20
গিয়েছে।,19
হয়েছিল।এখনো,19
পরিধেয়,19
সূর্যোদয়ের,19
মায়িদাহ্,19
ওয়াস্,19
শিয়া,19
হওয়ায়,19
ইয়াতীমের,19
নিয়মে,19
পড়িয়ে,19
নিয়ত,19
জাগিয়ে,19
ত্বওয়াফে,19
তাওয়াফের,19
ওয়ায্‌,19
মিটিয়ে,19
দু’পায়ের,19
বুরায়দাহ্,19
নুবূওয়াত,19
উওয়াইমির,19
রংয়ে,19
খাওয়ানো,19
গোপনীয়,19
রয়েছে।এখনো,19
গিয়েছি।,19
সম্প্রদায়!,18
দূষণীয়,18
(‘আয়িশাহ,18
সময়ই,18
বুঝিয়েছেন,18
ওয়াসাল্লাম-কে,18
সমুদয়,18
হুযায়র,18
হয়”,18
মারওয়ানের,18
নিয়্যাতে,18
‘আতিয়্যা,18
‘উলাইয়্যাহ,18
যায়দের,18
(দ্বিতীয়,18
(আয়াত,18
সময়ও,18
হয়েছিলাম।,18
নিয়মিত,18
রংয়ের,18
ভয়ানক,18
জাহিলিয়্যাতে,18
দেখিয়েছে,18
উকায়ল,18
বায়তুল্লাহ্‌,18
(মাক্কায়),18
হায়স,18
থাকাবস্থায়,18
আরায়া,18
ঘনিয়ে,18
শু’আয়ব,18
ছয়টি,18
তৃতীয়বারে,18
হয়।(আধুনিক,18
‘ইয়া,18
নিয়েই,18
ওয়াক্তের,18
(ক্বিয়ামাত,17
আয়িশার,17
পাকিয়ে,17
অবস্থায়।,17
যেয়ো,17
কুরায়শের,17
শাইয়িন,17
হয়।’,17
কুতায়বাহ,17
জাহিলিয়্যাতের,17
অসহায়,17
যায়?,17
আদায়কারীর,17
‘উমাইয়া,17
(উভয়,17
খাওয়াও,17
নেয়।এখনো,17
সওয়াবে,17
নিরাময়,17
ইয়াহুদীর,17
মুলায়কা,17
কাটিয়ে,17
পৌছিয়ে,17
কায়সের,17
"খায়,",17
নিভিয়ে,17
উমাইয়াহ্‌,17
কিয়ামে,17
বংশীয়,16
ইয়ামানবাসীদের,16
ঘটায়,16
হয়েছে-,16
কুতায়বাহ্,16
আনিয়ে,16
খাওয়াতে,16
খেয়েছে,16
লাগিয়েছি,16
নির্ণয়,16
কিয়দংশ,16
তওয়াফ,16
সানিয়্যা,16
শায়বান,16
আয়ু,16
সুফ্‌ইয়ানের,16
সওয়াবের,16
যাকারিয়্যা,16
‘আতিয়্যাহ,16
মুসাইয়্যিব,16
চিন্তায়,16
হয়েছে),16
কেয়ামত,16
পুড়িয়ে,16
আইয়্যাশ,16
ধোয়া,16
পেয়েছিলাম,16
চোয়াল,16
আশঙ্কায়,16
মায়মূনাহ্,16
ডুবিয়ে,16
ওয়াজিব।,16
থামিয়ে,16
হুলায়ফাহ্,16
সফিয়্যাহ্‌,16
(ইয়াহূদী,16
হিদায়াতে,16
যাকওয়ান,16
যায়।এখনো,16
মারওয়াহ্‌,16
মুয়াজ্জিন,16
শিখিয়েছেন,15
আওয়াম,15
শ্রেয়,15
বেয়ে,15
ইচ্ছায়,15
তোমায়,15
আয়িশাহ্‌!,15
তায়েফ,15
খিয়ার,15
ওয়া‘দা,15
কুন্ইয়াত,15
আমায়,15
হয়েই,15
খয়রাত,15
সময়কার,15
যন্ত্রণাদায়ক,15
মুওয়ায্‌যিন,15
অধিনায়ক,15
কুবায়,15
মেয়েরা,15
আয়াতসমূহ,15
কঙ্করময়,15
কিয়ামের,15
খায়র,15
শায়িত,15
দেয়।এখনো,15
হিদায়াতের,15
দন্ডায়মান,15
‘আয়িশার,15
(মক্কায়,15
লাফিয়ে,15
আশ্রয়স্থল,15
গোয়েন্দা,15
ইয়ালামলাম,15
আয়িশাহ্!,15
হুরায়রা্(রাঃ),15
"গিয়েছিল,",15
নিয়েছিলাম,15
বিপর্যয়,15
ওয়া-তি,15
হয়েছেঃ,15
কয়েকবার,15
হুনায়ফ,15
“নিশ্চয়ই,15
“ইয়া,15
দিয়াত,14
পেঁচিয়ে,14
ইয়াহূদীকে,14
ধোঁকায়,14
ঘুমায়,14
মুকাবিলায়,14
‘উলাইয়্যাহ্,14
ঘটিয়ে,14
নিয়ামত,14
যাতায়াত,14
ন্যায়সঙ্গতভাবে,14
"জানিয়েছেন,",14
পছন্দনীয়।,14
সদয়,14
(কিয়ামতের,14
বিষয়ে),14
সময়কাল,14
দায়িত্ববান,14
থাকায়,14
আবহাওয়া,14
কুরায়শরা,14
শুকিয়ে,14
‘আয়িশাহ!,14
উমাইয়্যাহ্‌,14
আত্মীয়দের,14
(ক্বিয়ামাতের,14
ওয়ালীমাহ,14
আয়মান,14
হুদাইবিয়াহ্‌,14
ওয়াসাক,14
ওয়ালাদ,14
তা’য়ালা,14
আয়িশা!,14
তায়াম্মুমের,14
শুনিয়েছেন।,14
খেয়ো,14
পিছিয়ে,14
সামা-ওয়া-তি,14
করিয়েছেন।,14
মেয়েলোক,14
ওয়ামিল,14
আপ্যায়ন,14
নয়),14
সফীয়্যাহ,14
পর্যায়ক্রমে,14
(মক্কায়),14
পেয়েছে।,14
জানোয়ারের,14
দৌড়িয়ে,13
মদ্যপায়ী,13
হিরাক্লিয়াসের,13
‘হায়,13
মুয়াযযিন,13
কু’আয়স,13
"কুরায়ব,",13
দেখিয়েছেন,13
কিয়াস,13
যায়দকে,13
কয়েকদিন,13
হয়)।,13
আসওয়াদে,13
তায়িফ,13
মুড়িয়ে,13
তিলওয়াত,13
আকর্ষণীয়,13
আঁচড়িয়ে,13
নু’আয়ম,13
নুবূওয়াতের,13
দাঁড়িয়েছিলেন,13
দারোয়ান,13
আওয়ায,13
দু’আয়,13
সাওয়াব।,13
হওয়াকে,13
শাইয়িন্,13
"ন্যায়,",13
পর্যায়ের,13
‘উবায়দুল্লাহ্,13
গিয়ে),13
(দুনিয়া,13
হয়-,13
আওয়ানাহ,13
মর্যাদায়,13
হাতিয়ার,13
‘উমরায়,13
জয়লাভ,13
সাওয়ারীতে,13
সূরায়ে,13
দেয়া),13
‘উমাইয়াহ,13
‘আয়িশাহ্!,13
‘উকায়ল,13
দয়ার,13
মায়িদাহ্‌,13
দা’ওয়াতে,12
উসায়র,12
ওয়ালীমার,12
হয়নি।এখনো,12
আয়াতঃ,12
হয়েছে;,12
শয়ন,12
২য়,12
তত্ত্বাবধায়ক,12
জুয়া,12
খেয়েছেন,12
বয়োজ্যেষ্ঠ,12
সবসময়,12
লাগিয়েছেন,12
অতিশয়,12
শুয়েছিল,12
ওয়াসাল্লাম)],12
আশংকায়,12
জামারায়,12
নিয়ন্ত্রণে,12
এড়িয়ে,12
পিঁয়াজ,12
মুলায়কাহ,12
ন্যায়),12
"শায়বাহ্,",12
সাইয়্যার,12
হুযায়ফার,12
কূয়া,12
দা‘ওয়াত,12
ওয়ালীদকে,12
সম্পর্কীয়,12
বাস্তবায়িত,12
তায়মী,12
‘আয়িশা!,12
সাহাবায়ে,12
দিয়েছিলেন।এখনো,12
হায়াত,12
যায়।(আধুনিক,12
ক্ষুধায়,12
’আয়িশা,12
সেথায়,12
ওয়াসীলাহ,12
সম্প্রদায়।,12
মুহাইয়্যিসাহ,12
দেওয়ার,12
ওয়াজের,12
হাদিয়্যাহ্,12
নবুয়ত,12
নয়।এখনো,12
উওয়াইস,12
চরিয়ে,12
কল্যাণময়,12
মারিয়া,12
সুলায়ম!,12
ইয়াদাইন,12
নিদ্রায়,12
পায়া,11
রয়েছে?,11
হুদায়বিয়ার,11
পূর্বাবস্থায়,11
ওয়াহব,11
ওয়াবারা,11
দাঁড়িয়েছিলেন।,11
হয়।’এখনো,11
তেলাওয়াত,11
ধোয়ার,11
"ইয়াহ্‌ইয়া,",11
'উরওয়া,11
আদায়কালে,11
ওয়ামা-,11
করণীয়,11
আক্‌ওয়া,11
ওয়াকী‘,11
করিয়েছি।,11
আয়াত),11
রয়েছে),11
বর্ণিতঃআয়িশা,11
লায়সী,11
পয়গাম,11
নুমায়রের,11
আবিসিনিয়ার,11
প্রিয়?,11
শোভনীয়,11
লটকিয়ে,11
"যুবায়র,",11
ওয়ালা’র,11
দু’য়ের,11
উমায়্যা,11
দিয়ে।,11
হয়।”,11
বিস্ময়কর,11
হয়;,11
"সময়,",11
তালবিয়াহ্‌,11
হুশায়ম,11
দয়ালু।,11
পন্থায়,11
মুহাইয়্যিসাহ্,11
ন্যায়পরায়ণ,11
পলায়নপর,11
ওয়াদি,11
ইয়ামামার,11
"দিয়েছ,",11
(মদীনায়,11
লুক্কায়িত,11
আওয়াজের,11
ধোঁয়া,11
জুরায়জের,11
শায়খ,11
আম্বিয়া,11
"পেয়েছি,",11
আসওয়াদের,11
যুল-হুলায়ফা,11
হুদাইবিয়াহর,11
পেয়েছ?,11
দয়াময়,11
আলোচনায়,11
চূড়ায়,11
ইয়াহূদীদেরকে,11
মুসায়্যাব,11
কেয়ামতের,11
প্রিয়তম,11
নয়টি,11
হুওয়াইরিস,11
চামড়ায়,11
পায়নি,11
যায়েদ,11
ওয়ালাদের,11
সময়ে),11
হয়েছে”,11
দিয়েছেন।(,11
(ইয়ামান,11
প্রয়োজনবোধ,11
আল-মায়িদা,11
জাহিলীয়্যা,11
হুজরায়,11
হয়েছে।(আধুনিক,11
যেয়ে,11
প্রস্তরময়,11
শু‘আয়ব,11
দিয়েছ?,11
প্রতিযোগিতায়,11
হেঁচড়িয়ে,11
তাকায়,11
গলিয়ে,11
মায়া,11
চোয়ালে,10
লুওয়াই,10
সাময়িক,10
সহাবায়ে,10
(বিদায়,10
(দেয়া,10
বেড়ায়,10
ইয়াকুব,10
হাইয়্যান,10
ভিজিয়ে,10
তনয়,10
যায়)।,10
উভয়টির,10
লায়লাতুল,10
ভয়ে),10
মালায়িকাহ্‌,10
ওয়াহ্শী,10
‘আরাফায়,10
শিরায়,10
দিয়েছেন।(আধুনিক,10
শুকরিয়া,10
সানিয়্যাতুল,10
নবুয়তের,10
সত্যায়ন,10
দিহ্‌ইয়া,10
পেয়ে),10
(বায়তুল,10
’আয়িশাহ্,10
'উরওয়াহ,10
আয়ত্ব,10
আনয়ন,10
নিয়ে।,10
ধারায়,10
মায়মুন,10
ব্যবসায়ী,10
কুরায়শগণ,10
আতিথেয়তা,10
ওয়ালীমাহ্,10
প্রস্রাব-পায়খানা,10
ওয়ালাহুল,10
