bn_words_of_interest,frequency_count
বানিয়েছেন,63
দন্ডায়মান,63
পরিচয়,63
হয়েছিলে,63
ইয়াহূদ,63
অধ্যায়)তাফসীরে,62
ওয়া‘দা,62
সওয়াব,62
জায়েয,61
ছয়,61
পরোয়া,61
ইয়াহূদী,61
পায়ের,61
পাঠিয়েছে,61
পালিয়ে,61
বয়ে,61
পরায়ণদের,61
কতিপয়,60
ন্যায়পরায়ণ,59
চেয়েও,59
জয়ের,59
"হয়নি,",59
সংশয়,59
দিয়েছিলেন।,58
করায়,58
নিয়ন্ত্রণ,58
বয়সে,58
কয়েকটি,57
আয়াতটি,57
অপেক্ষায়,57
বজায়,57
ও‘য়াদা,57
রয়েছে;,56
লুকিয়ে,56
ন্যায়ের,56
বেড়ায়,56
হয়েছেন,55
প্রয়োগ,55
রাদিয়াল্লাহু,55
বিক্রয়,54
বাঁচিয়ে,54
সত্যায়ন,54
শোভনীয়,54
মক্কায়,53
এমতাবস্থায়,53
"পায়,",53
উঠিয়ে,52
বিধায়ক,52
আত্মীয়তার,52
বুঝিয়েছেন।,52
গায়ব,51
নিয়ত,51
তৃতীয়াংশ,51
হারিয়ে,51
রয়েছেন,51
হয়োনা,51
কর্মপরায়ণদের,51
হয়।[2],50
আয়াতকে,50
তাওয়াক্কুল,50
স্থায়ী।,50
দয়াময়ের,50
জওয়াব,50
আয়ত্ত,49
এখতিয়ারে,49
ওয়ায,49
তাওয়াফ,49
উদয়,48
হয়েছিল?,47
অবস্থায়।,47
অসহায়,47
দায়ী,47
গিয়েছিলে,47
শ্রেয়,46
আয়াতেও,46
খেয়াল-,46
বিষয়ক,46
নিয়েছে।,46
(দুনিয়া,46
হিদায়াতপ্রাপ্ত,46
মেয়াদ,45
নিয়েছিলাম,45
ভয়াবহতা,45
জোড়ায়,45
প্রজ্ঞাময়।[1],45
শিঙ্গায়,45
বায়তুল,45
আয়াতে),45
করুণাময়।,45
চেয়েছি,45
বানিয়েছি,45
পাঠিয়েছেন,44
সাময়িক,44
নয়।[2],44
সৎকর্মপরায়ণদের,44
স্থায়ীভাবে,44
খাওয়ার,43
লাঞ্ছনাদায়ক,43
নিয়েছিলে,43
হুদাইবিয়া,43
তিলাওয়াত,43
দেখিয়েছি,43
চাপিয়ে,42
উভয়েই,42
দয়ার,42
সকাল-সন্ধ্যায়,42
সংখ্যায়,42
মাত্রায়,42
মোকাবেলায়,42
নিয়েই,42
গায়র,42
দেখায়,41
কিয়ামাতে,41
বাস্তবায়িত,41
চেয়েছিল,41
হয়ে।,41
বিজয়ে,41
গিয়েছে,40
তত্ত্বাবধায়ক,40
অপছন্দনীয়,40
নিয়েছিল।,40
দ্বিতীয়বার,40
নয়?,39
বিজয়ের,39
উপায়-,39
আয়াতসমূহের,39
দয়ালু।[1],39
দু’য়ে,39
কিয়ামাতের,39
গায়রুল্লাহ,39
হয়েছিলেন,39
বিস্ময়কর,39
দু’য়ের,38
বিষয়কে,38
কর্মবিধায়ক,38
হয়েই,38
খেয়াল-খুশী,38
মদীনায়,38
আশায়,38
যাকারিয়া,38
প্রয়োজনে,38
উপায়-উপকরণ,38
নৌকায়,37
লুটিয়ে,37
ঘটিয়ে,37
"দিয়ে,",37
তাকিয়ে,37
ছিনিয়ে,37
নিয়মে,37
অবাধ্যতায়,37
হাওয়ার,37
হয়েছে),36
নিয়েছিলেন,36
করিয়েছ,36
ক্বিয়ামাত,36
পরাজয়,36
ওয়াজেব,36
বিদায়,36
খয়রাত,36
"প্রজ্ঞাময়,",36
আয়ু,35
হয়না,35
কোথায়?,35
মাথায়,35
তনয়,35
সওয়ার,35
শুকিয়ে,34
দিয়েছিল।,34
রয়েছেন।,34
আয়াত।,34
গলায়,34
তাকওয়ার,34
যায়-,34
ন্যায়।,34
"দিয়েছে,",34
রয়েছে।তাফসীরে,34
হৃদয়কে,33
বিষয়টা,33
মাদয়্যান,33
ফায়সালার,33
পেয়েছে,33
"নিয়েছেন,",33
হয়),33
গুহায়,33
কল্যাণময়,33
গুটিয়ে,33
ক্বিয়ামতে,33
দেখিয়েছিল,33
অন্যায়ের,33
পাঠিয়েছিলাম।,33
দাওয়াতে,33
যায়;,33
হয়েছি।,32
নয়),32
উড়িয়ে,32
দায়িত্বে,32
গায়রুল্লাহর,32
স্বেচ্ছায়,32
হয়।’,32
ভয়ানক,32
জয়যুক্ত,32
তাড়িয়ে,32
নির্ণয়,32
উপত্যকায়,31
রয়েছে।[1],31
মাদইয়ান,31
ওয়ায-নসীহত,31
সিয়াম,31
জ্ঞানময়,31
সমুদয়,31
গিয়েছিলেন,31
ক্ষণস্থায়ী,31
হয়।[3],31
‘হায়!,31
পেয়েছিল,30
হয়েছিল;,30
ছায়ায়,30
"নিয়েছে,",30
মারইয়ামের,30
কয়েকজন,30
হওয়াকে,30
হৃদয়ের,30
চালিয়ে,30
ভুলিয়ে,30
নিকটাত্মীয়,30
পরায়ণ।,30
মিটিয়ে,30
পৌঁছিয়ে,30
খিয়ানত,30
ন্যায়পরায়ণতা,30
হয়?,30
বিনয়্যামীন,29
পায়নি,29
পয়গম্বরদের,29
হয়েছে।),29
বয়স্ক,29
খেয়াল-খুশীর,29
সত্যায়নকারী,29
আনয়নকারী,29
সময়।,28
শয়তানদের,28
(কিয়ামত,28
দিয়ো,28
ক্রয়-বিক্রয়,28
দায়িত্ব।,28
এড়িয়ে,28
এখতিয়ারের,28
"আয়াত,",28
সঞ্চয়,28
মেয়ের,28
বেদনাদায়ক,28
আয়াত)[2],27
প্রত্যয়,27
হয়েছিল।তাফসীরে,27
শরয়ী,27
"দেওয়া,",27
পরীক্ষায়,27
দয়ালু।-তাফসীরে,27
পর্যায়ক্রম,27
দিয়ে),27
সিজদায়,27
ক্বিয়ামতের,27
হয়েছে।’,27
ভায়ের,27
ধোঁয়া,26
দ্বিতীয়টি,26
বিজ্ঞানময়,26
অপব্যয়,26
শুকরিয়া,26
হেদায়াত,26
"সম্প্রদায়,",26
ওয়ারিস,26
দয়ালু।’,26
অপচয়,26
ছায়ার,26
অন্যায়কারী,26
ধোঁকায়,26
বিষয়।,25
পয়গাম,25
আপ্যায়ন,25
আয়াতগুলোকে,25
দাঁড়ায়।,25
ক্ষয়,25
আদায়কারী,25
আয়াতগুলি,25
"দিয়েছিলেন,",25
ধর্মীয়,25
নয়।’,25
ঘটায়,25
সময়),25
আত্মীয়দের,25
নেওয়া।,25
করিয়েছি,25
জুয়া,25
"হায়,",25
জড়িয়ে,25
(ইয়াহুদ,25
ভ্রষ্টতায়,25
মারয়্যামে,25
কিয়ামতকে,25
দাওয়াতের,25
ফরিয়াদ,25
হয়েছিলেন।,25
য়্যামের,24
তৃতীয়তঃ,24
ব্যাখ্যায়,24
ভয়ঙ্কর,24
প্রতিক্রিয়া,24
প্রতীক্ষায়,24
নিয়ামতসমূহ,24
স্থানীয়,24
যাওয়া।,24
ইয়াতীমদের,24
শিখিয়ে,24
আয়ত্তে,24
নিন্দনীয়,24
কষ্টদায়ক,24
হয়েছেন।,24
গর্ভাশয়,24
বায়আত,24
ঘটনায়,24
গায়বের,24
সম্পর্কীয়,24
"ইয়াহুদী,",24
ন্যায়সঙ্গত,24
ভয়ংকর,24
লুক্কায়িত,23
সাময়িকভাবে,23
সূর্যোদয়,23
যায়।[2],23
হয়োনা।,23
শুনিয়ে,23
অবস্থায়),23
দিয়েছি;,23
ইয়াহুদীদেরকে,23
পর্যায়ক্রমে,23
পিছিয়ে,23
যায়নি,23
আদায়ে,23
দয়াবান,23
এগিয়ে,23
মেয়েদের,22
জয়লাভ,22
(ইয়াহুদী,22
দরিয়া,22
অন্তরায়,22
বিধেয়,22
যাতায়াত,22
"হয়ে,",22
ঘুমিয়ে,22
বানিয়েছেন।,22
এলাকায়,22
দিয়ে।,22
গোপনীয়,22
তদ্বিষয়ে,22
ওয়ারেস,22
শয়তানকে,22
নেয়ার,22
বিয়ের,22
দেয়;,22
নামিয়ে,22
ক্রিয়ার,22
জাতীয়,22
যেয়ো,22
চেষ্টায়,22
মারয়্যামের,22
এতদুভয়,22
আওতায়,22
উভয়কেই,21
পূর্বাবস্থায়,21
ক্বিয়ামাতের,21
দিয়েই,21
হাওয়ারী,21
গিয়েছিলেন।,21
যায়েদ,21
প্রাচুর্যময়,21
পন্থায়,21
ধসিয়ে,21
নিয়েছিলেন।,21
"ন্যায়,",21
চায়?,21
হয়।[1],21
করুণাময়ের,21
নয়।[3],21
সালওয়া,21
হয়েছে।[3],21
পরায়ণদেরকে,21
হয়ে),21
জমায়,20
নিয়তে,20
পয়গম্বরগণ,20
দিয়েছেন;,20
নিয়েছি।,20
খায়বার,20
সহায়তা,20
গায়েবের,20
পূজায়,20
এতদুভয়ে,20
চেয়েছে,20
বেড়ায়।,20
ইয়াকুব,20
যায়ঃ,20
হুদাইবিয়ার,20
প্রয়োজনের,20
ইয়াসীন,20
ঘুরিয়ে,20
আলোচনায়,20
পরায়ণতার,19
(ক্রিয়া,19
সংশয়ে,19
জানোয়ার,19
নবুওয়াত,19
জ্ঞানময়।,19
পয়গম্বরের,19
শুয়ে,19
বাস্তবায়ন,19
ন্যায়বিচার,19
চালায়,19
বৈমাত্রেয়,19
দিয়েছেন।তাফসীরে,19
কায়িম,19
"দিয়েছিল,",19
সুফিয়ান,19
বায়ুর,19
"হয়েছ,",19
এতদুভয়ের,19
করুণায়,19
সহায়ক,19
শিক্ষণীয়,19
আদায়ের,19
"পাঠিয়েছি,",19
উভয়েরই,19
নিয়ম-নীতি,19
"অবস্থায়,",19
"গিয়েছিল,",19
আয়াতগুলোর,18
বিছিয়ে,18
বিনয়্যামীনকে,18
নিয়ায,18
ইয়ামান,18
পরাজয়ে,18
আয়সারুত,18
ফিতনায়,18
ব্যবসায়,18
ঢুকিয়ে,18
দুয়ে,18
অধ্যায়)[2],18
রায়ে,18
নিয়েছে?,18
নিয়মিত,18
টীকায়,18
খায়।,18
ভয়-ভীতি,18
নিয়ে।,18
তায়াম্মুম,18
সর্বাবস্থায়,18
দেওয়াল,18
(শয়তান,18
বিজয়।,18
বিরোধিতায়,18
অধ্যায়ঃ,18
পায়নি।,18
জমায়েত,18
ফয়সালার,18
হওয়ার),18
প্রলয়,18
হয়।’’,18
অস্থায়ী,18
দেখিয়েছে,18
সিরিয়া,18
নির্ভয়,18
জাহেলিয়াত,17
বানায়,17
হয়েছেঃ,17
মারইয়াম!,17
দেখিয়েছেন,17
ইয়াহূদীদের,17
আইয়ুব,17
"পাঠিয়েছিলাম,",17
জ্ঞানায়ত্ত,17
প্রয়োজনই,17
(ভয়,17
বিষয়াদি,17
রয়েছে।’,17
শয়তানরা,17
হয়)।,17
উপায়ে,17
জায়গাতে,17
বংশীয়,17
বয়স্কা,17
বিজ্ঞানময়।,17
সময়কাল,17
ওয়াসাল্লাম,17
শিখিয়েছ,17
দয়ার্দ্র,17
"সময়,",17
জ্বালিয়ে,17
মায়া,17
"দয়াময়,",17
কিয়দংশ,17
মারওয়া,17
চেয়েছেন,17
গর্ভাশয়ে,17
ওয়াজিব,17
"খায়,",17
দুয়ের,17
নিয়মের,17
রয়েছ।,17
সদয়,17
হয়েছে।’’,17
ইয়াকূবের,17
দায়িত্বশীল,17
শয়তানী,17
হেয়,17
অভিপ্রায়,16
দেখিয়েছিলেন,16
"হয়েছি,",16
মিশিয়ে,16
পায়খানা,16
দান-খয়রাত,16
হাঁকিয়ে,16
বিচার-ফায়সালা,16
নয়’,16
ন্যায়পরায়ণতার,16
প্রিয়।,16
হয়’,16
শয়তানদেরকে,16
মাদইয়ানবাসী,16
ইয়াহইয়া,16
সওয়ারী,16
"শ্রেয়,",16
তাক্বওয়া,16
যায়?,16
কাটিয়ে,16
"বেড়ায়,",16
পাথেয়,16
নযর-নিয়ায,16
তৃতীয়াংশে,16
পরাজয়ের,16
ধারায়,16
চিরস্থায়ী।,16
উপাসনালয়,16
নয়-,16
চাওয়ার,15
নয়না,15
ভায়েরা,15
প্রচেষ্টায়,15
জায়েয।,15
পুড়িয়ে,15
সময়কে,15
অনিচ্ছায়,15
হয়েছে!,15
‘ইয়া,15
হারায়,15
দরজায়,15
গিয়েছিলাম,15
মুকাবিলায়,15
দিয়েছিলাম;,15
ন্যায়সঙ্গতভাবে,15
দয়ালু’।,15
সেথায়,15
পছন্দনীয়।,15
বসিয়ে,15
বানিয়েছিল,15
ন্যায়),15
অধ্যয়ন,15
দেয়নি,15
ইচ্ছানুযায়ী,15
সম্প্রদায়।’,15
সর্বময়,15
বিষয়সমূহ,15
অদ্বিতীয়,15
জাহেলিয়াতে,15
সময়-,15
"দিয়েছ,",15
"হওয়া,",15
মায়েদা,15
হওয়ারই,15
নিয়ামতকে,15
শয়ত্বানের,15
"আত্মীয়-স্বজন,",15
হয়ঃ,15
পরিয়ে,15
দেয়।’,15
নিয়ে),15
স্থায়িত্ব,15
দুনিয়াতেও,15
নেয়ামত,14
প্রয়োজনীয়তা,14
কিয়ামত),14
যায়।’,14
রয়েছে?,14
"‘হায়,",14
হয়নি;,14
এখতিয়ারাধীন,14
ছাড়িয়ে,14
দেয়।তাফসীরে,14
দায়িত্বভার,14
করিয়েছিলাম,14
(আয়াত,14
হয়েছে’,14
পূর্ণমাত্রায়,14
হয়েছিল।[2],14
"করুণাময়,",14
প্রশংসনীয়,14
পয়গম্বরদেরকে,14
জিযিয়া,14
য়্যা’জূজ,14
কামনায়,14
পর্যায়ের,14
"প্রাচুর্যময়,",14
ওয়ালারা,14
কথাবার্তায়,14
বিষয়টাকে,14
(অন্যায়,14
মিলিয়ে,14
ওয়াকিফহাল,14
জীবদ্দশায়,14
নিয়েছিলাম।,14
নয়টি,14
(দুনিয়ায়,14
তাকায়,14
হয়েছে।[1],14
হারিয়েছ,14
কর্মপরায়ণ।,14
হওয়াতে,14
মারয়্যাম-তনয়,14
বিষয়টিকে,14
গায়বী,14
নমনীয়,14
বাসায়,14
সীমায়,14
দিয়েও,14
সমবয়স্কা,14
আশ্রয়ে,14
আয়াতগুলোতে,13
"পেয়েছি,",13
যায়নি।,13
খাওয়াতে,13
এখতিয়ারভুক্ত,13
গোত্রীয়,13
জায়গা।,13
(কিয়ামত),13
আসা-যাওয়া,13
অপছন্দনীয়।,13
সুপেয়,13
"হয়োনা,",13
ব্যয়কারী,13
আয়াতও,13
প্রয়োজন।,13
রয়েছে।-তাফসীরে,13
দিয়েছেন?,13
নিভিয়ে,13
গিয়েছে।,13
অসহনীয়,13
হাওয়াকে,13
দুনিয়াতেই,13
শু‘আয়ব,13
বিনয়ী,13
অন্যায়।,13
সময়ই,13
দুনিয়ায়),13
(আয়সারুত,13
আয়ত্তাধীন,13
বিষয়েই,13
অবয়ব,13
রয়েছি,13
(দুনিয়াতে,13
খেয়েছে,13
‘কিয়ামত,13
দায়িত্বের,13
সুখময়,13
উদয়াচল,13
কিনারায়,13
নিরুপায়,13
উপায়-উপকরণে,13
নয়।-তাফসীরে,13
সাজিয়ে,13
ভয়ও,13
হয়[1],13
নেতৃস্থানীয়,13
ইয়াতীমের,13
ক্রিয়ামূল,13
নয়।[1],13
যন্ত্রনাদায়ক,12
ইয়া‘কূব,12
ক্রিয়াপদ,12
পর্যায়ভুক্ত,12
যাকারিয়্যা,12
বিষয়ই,12
দেওয়াও,12
জাহেলিয়াতের,12
প্রজ্ঞাময়।-তাফসীরে,12
হয়নি।তাফসীরে,12
ছেয়ে,12
সুলায়মান,12
অন্যায়),12
জওয়াব।,12
আহবায়ক,12
"নিয়েছিলাম,",12
কর্মপরায়ণদেরকে,12
যয়নাব,12
বয়ঃপ্রাপ্ত,12
পালনীয়,12
কেয়ামত,12
চেহারায়,12
দেখিয়েছিলাম,12
পয়সা,12
আলোয়,12
দয়াবান।,12
করণীয়,12
তৃতীয়াংশের,12
"নিয়েছি,",12
তদনুযায়ী,12
হয়।-তাফসীরে,12
হয়েও,12
(দুনিয়ায়),12
ঝুলিয়ে,12
আত্মীয়-স্বজনের,12
শিংগায়,12
প্রজ্ঞাময়।’,12
বিনয়ে,12
এতদোভয়ের,12
বৈপিত্রেয়,12
বুনিয়াদ,12
দ্বিতীয়জন,12
সূর্যোদয়ের,12
সময়কার,12
"দয়ালু,",12
প্রার্থনায়,12
শান্তিময়,11
সাজদাহয়,11
কেয়ামতে,11
"পাঠিয়েছেন,",11
ভয়াবহতার,11
পায়;,11
পাল্লায়,11
দিয়েছেন),11
উপায়-উপকরণের,11
মেয়েরা,11
পেয়েছে।,11
নিয়ন্ত্রিত,11
‘নিশ্চয়ই,11
রয়েছে),11
দেওয়াই,11
নিয়ন্ত্রণাধীন,11
হয়না।,11
লাভদায়ক,11
হয়।),11
সৎকর্মপরায়ণদেরকে,11
বিনয়াবনত,11
বায়ুকে,11
দেয়া।,11
সময়ও,11
শিখিয়েছেন,11
সাজদায়,11
হওয়াটা,11
পানীয়।,11
সম্প্রদায়),11
অতিশয়োক্তি,11
চিরস্থায়ীভাবে,11
ক্ষমাপরায়ণ,11
ভালবাসায়,11
ক্ষমতায়,11
হুঁশিয়ার,11
আনয়নকারীদের,11
"পরায়ণ,",11
হাতিয়ার,11
খেয়ালে,11
দাওয়াতকে,11
আত্মীয়-স্বজনদের,11
কোথায়?’,11
ঢেউয়ে,11
"দাঁড়ায়,",11
আনয়নে,11
খাওয়ান,11
আম্বিয়াগণ,11
হুদাইবিয়ায়,11
ওয়াক্ত,11
হয়-,11
হয়েছিল),11
সেবায়,11
হস্তদ্বয়,11
নয়)।,11
সৎকর্মপরায়ণ।,11
ধারণায়,11
সাদাকা-খয়রাত,11
দিয়েছেন।’,11
অন্যথায়,11
চেয়েছিলে,11
পেয়েছি।,11
দিয়েছে।তাফসীরে,11
খানায়,10
ইয়াহূদীরা,10
হয়েছ।,10
হয়েছি।’,10
"ইয়াতীম,",10
সম্প্রদায়ও,10
বেপরোয়া,10
গায়ব’,10
বিজয়ী।,10
যামানায়,10
‘ভয়,10
দয়ায়,10
পেয়ো,10
চক্ষুদ্বয়,10
পাঠিয়েছেন।,10
ঘটিয়েছিল,10
যায়।’’,10
"বানিয়েছেন,",10
শ্রেয়।,10
মাদইয়ানবাসীদের,10
অবস্থায়ই,10
জানায়,10
হিকমতওয়ালা।,10
এখতিয়ারভুক্ত।,10
নেয়;,10
বায়ত’,10
পলায়নে,10
আশ্রয়স্থল।,10
পথভ্রষ্টতায়,10
নিয়েছ।,10
"বিষয়,",10
শাফেয়ী,10
যয়ীফ,10
(দুনিয়াতে),10
মাদইয়ানে,10
য়্যা’জূজ-মা’জূজ,10
হাত-ওয়ালারা,10
ফয়সালাকারী,10
বিস্ময়ে,10
অসীয়াত,10
হয়েছে।[4],10
তদীয়,10
ভাইয়েরা,10
সালওয়া’,10
বুঝায়,10
দুর্গন্ধময়,10
"হয়েছেন,",10
পাঠিয়েছি।,10
দিয়েছ।,10
ওয়াকিফহাল।,10
অপ্রিয়,10
আদায়কারীদের,10
আওয়াজে,10
দেওয়ালে,10
নেয়।তাফসীরে,10
বিনয়ের,10
খেয়ানত,10
শায়ত্বনের,10
ইন্দ্রিয়,10
পয়গম্বরকে,10
মঙ্গলময়,10
নয়!,10
শিরকীয়,10
ধোকায়,10
আলোকময়,10
"বানিয়েছি,",10
বয়সের,10
বিধায়ক।,10
ভঙ্গিমায়,10
গণনায়,9
তায়েফ,9
বিস্ময়বোধ,9
"চালায়,",9
ভাসিয়ে,9
ফিদ্ইয়া,9
চিন্তায়,9
গিয়েছিলে।,9
দেয়।’’,9
দাঁড়িয়েছিল,9
দোলনায়,9
ভাষায়।,9
খেয়ালের,9
জাগিয়ে,9
দয়ালুর,9
নিয়ামতগুলো,9
ইয়ামানে,9
ভয়শূন্য,9
শংকায়,9
"চেয়েছিল,",9
তাওয়াফে,9
নির্ণায়ক,9
"দয়ার্দ্র,",9
আয়াত)[3],9
সমুদয়ের,9
"তৃতীয়াংশ,",9
খেয়ো,9
থামিয়ে,9
যায়।),9
হয়েছিল!,9
(কিয়ামতের,9
যথাসময়ে,9
হয়’।,9
(ন্যায়,9
হওয়া),9
সম্প্রদায়;,9
কুয়া,9
তাওয়াফকারী,9
যায়তুন,9
কেয়ামতের,9
সুলায়মানের,9
চাকচিক্যময়,9
রক্ষায়,9
ধোঁয়ার,9
রটায়,9
বয়ান,9
যাওয়াকে,9
দাঁড়িয়েছে,9
(সময়,9
উপাসনায়,9
হয়নি?,9
মহাপ্রজ্ঞাময়।,9
জোড়ায়।,9
উযায়ের,9
বাঞ্ছনীয়,9
নিরাময়,9
মৃত্যুভয়ে,9
হয়েছিল।[3],9
দিয়েছেন।[2],9
শয়ন,9
অনুনয়,9
লিখিয়ে,9
চড়িয়ে,9
(দুনিয়ার,9
(যাবতীয়,9
মহিমময়,9
পয়দা,9
সময়েই,9
বিষয়বস্তু,9
ঢেউয়ের,9
"বুঝিয়েছেন,",9
গোপনীয়তা,9
হাবিয়া,9
নিশ্চয়তা,9
গিয়েছিল।তাফসীরে,9
স্মরণীয়,9
প্রিয়পাত্র,9
আপ্যায়নের,9
সম্মানীয়,9
পড়িয়ে,9
টাকা-পয়সা,9
(ক্বিয়ামত,9
নেয়?,9
সময়টি,9
সম্প্রদায়।(১),9
হওয়া।তাফসীরে,9
বিষয়গুলো,9
